passenger_id,route,bus,start_time,end_time,count,stops
P000374,r39,bus024,10,20,6,SN Banerjee -> Esplanade -> Park Street
P001721,r52,bus049,10,25,7,Maidan -> Rabindra Sadan -> Bhowanipore -> Kalighat
P000484,r51,bus100,10,20,4,Esplanade -> Rashbehari -> Gariahat
P001437,r2,bus050,10,15,1,Park Circus -> Ruby
P001726,r22,bus176,10,25,1,Ballygunge -> Sealdah -> MG Road -> Howrah Station
P001214,r7,bus045,15,20,9,Salt Lake -> Karunamoyee
P001651,r7,bus054,15,20,9,Salt Lake -> Karunamoyee
P002222,r2,bus050,10,20,10,Park Circus -> Ruby -> Garia
P001131,r6,bus228,25,30,7,Kalighat -> Esplanade
P002080,r19,bus010,15,25,8,Park Circus -> Ruby -> Garia
P001460,r21,bus011,15,20,4,Gariahat -> Ultadanga
P000624,r11,bus217,15,25,6,Esplanade -> Maidan -> Rabindra Sadan
P000887,r55,bus004,15,25,8,Bosepukur -> Gariahat -> Ruby
P000650,r29,bus040,15,25,5,Salt Lake -> New Town -> Eco Park
P000830,r14,bus297,15,25,5,Ballygunge -> Park Circus -> Sealdah
P001535,r12,bus094,15,25,6,Ultadanga -> Phoolbagan -> Sealdah
P002593,r57,bus042,15,20,4,Eco Park -> Chinar Park
P000754,r28,bus141,10,20,3,Phoolbagan -> Ultadanga -> Dumdum
P000373,r57,bus042,15,25,1,Eco Park -> Chinar Park -> Airport
P000226,r6,bus228,25,30,10,Kalighat -> Esplanade
P002053,r39,bus024,20,25,10,Park Street -> Rabindra Sadan
P001983,r16,bus007,15,20,10,Tollygunge -> Garia
P000521,r5,bus060,20,25,4,Esplanade -> Howrah Station
P002152,r57,bus042,15,25,1,Eco Park -> Chinar Park -> Airport
P000936,r1,bus009,15,45,1,Shyambazar -> Sinthee More -> Baranagar -> Dunlop -> BT Road -> Tobin Road -> Khardah
P002234,r6,bus228,25,30,9,Kalighat -> Esplanade
P000924,r26,bus026,95,100,10,Ultadanga -> Salt Lake
P002067,r33,bus033,95,110,8,Gariahat -> Phoolbagan -> Ultadanga -> Dumdum
P000663,r4,bus102,95,100,3,Jadavpur -> Kalighat
P002759,r32,bus001,90,105,4,Gariahat -> Ballygunge -> Park Circus -> VIP Road
P001590,r32,bus001,90,110,5,Gariahat -> Ballygunge -> Park Circus -> VIP Road -> Airport Gate No. 1
P000800,r46,bus025,100,110,9,Garia -> Kamalgazi -> Narendrapur
P001669,r32,bus001,95,110,9,Ballygunge -> Park Circus -> VIP Road -> Airport Gate No. 1
P001848,r36,bus020,100,115,7,Behala -> Tollygunge -> Kalighat -> Esplanade
P001301,r4,bus102,100,105,1,Kalighat -> Esplanade
P001372,r20,bus051,90,105,3,Dumdum -> Airport Gate No. 1 -> VIP Road -> New Town
P000542,r50,bus114,100,120,3,Dumdum -> Lake Town -> Bangur -> Ultadanga -> Bidhannagar
P002440,r37,bus019,100,115,10,Park Circus -> MG Road -> Shyambazar -> Baranagar
P001761,r57,bus042,100,120,10,Ultadanga -> Salt Lake -> New Town -> Eco Park -> Chinar Park
P001424,r11,bus217,100,125,9,Barasat -> Dumdum -> Shyambazar -> Esplanade -> Maidan -> Rabindra Sadan
P002009,r30,bus021,100,120,8,Ruby -> Gariahat -> Ultadanga -> VIP Road -> Airport Gate No. 1
P002551,r28,bus141,95,110,8,Sealdah -> Phoolbagan -> Ultadanga -> Dumdum
P001144,r15,bus083,95,110,5,Shyambazar -> Esplanade -> Park Circus -> Ruby Hospital
P000603,r16,bus007,95,110,1,Shibpur -> Alipore -> Tollygunge -> Garia
P001769,r6,bus228,110,115,10,Kasba -> Bosepukur
P000578,r38,bus027,100,105,8,Alipore -> Minto Park
P000955,r26,bus026,90,105,9,Esplanade -> Ultadanga -> Salt Lake -> New Town
P001207,r15,bus083,90,110,10,Bagbazar -> Shyambazar -> Esplanade -> Park Circus -> Ruby Hospital
P000268,r6,bus228,110,115,1,Kasba -> Bosepukur
P000360,r46,bus025,105,125,8,Kamalgazi -> Narendrapur -> Sonarpur -> Garia Station Road -> Ruby Hospital
P000477,r15,bus083,95,110,4,Shyambazar -> Esplanade -> Park Circus -> Ruby Hospital
P002610,r45,bus006,105,120,1,Behala -> Sakherbazar -> New Alipore -> Alipore
P001336,r3,bus207,115,130,10,Hazra -> Kalighat -> Minto Park -> Esplanade
P000352,r57,bus042,110,125,9,New Town -> Eco Park -> Chinar Park -> Airport
P001092,r44,bus055,110,125,9,Eco Park -> Eco Space -> Unitech -> Salt Lake
P001429,r12,bus094,110,125,7,VIP Road -> Ultadanga -> Phoolbagan -> Sealdah
P001662,r12,bus094,115,125,7,Ultadanga -> Phoolbagan -> Sealdah
P000284,r17,bus031,110,125,7,Ultadanga -> Phoolbagan -> Sealdah -> Park Street
P001161,r3,bus207,115,135,1,Hazra -> Kalighat -> Minto Park -> Esplanade -> Ultadanga
P001954,r26,bus026,95,110,5,Ultadanga -> Salt Lake -> New Town -> Rajarhat
P000787,r53,bus030,110,125,6,Gariahat -> Golpark -> Bosepukur -> Kasba
P001941,r6,bus228,110,140,6,Kasba -> Bosepukur -> Gariahat -> Golpark -> Hazra -> Kalighat -> Esplanade
P001451,r8,bus015,100,125,5,Rajarhat -> Newtown -> Salt Lake -> Ultadanga -> Esplanade -> Howrah Station
P001537,r5,bus060,105,125,1,Behala -> Tollygunge -> Hazra -> Esplanade -> Howrah Station
P002596,r11,bus217,115,125,10,Esplanade -> Maidan -> Rabindra Sadan
P001054,r20,bus051,95,105,4,Airport Gate No. 1 -> VIP Road -> New Town
P001181,r27,bus095,100,105,10,Ultadanga -> Salt Lake
P000072,r14,bus297,100,115,7,Tollygunge -> Rashbehari -> Gariahat -> Ballygunge
P001177,r4,bus102,100,110,8,Kalighat -> Esplanade -> Howrah Station
P000888,r3,bus207,120,130,3,Kalighat -> Minto Park -> Esplanade
P001604,r28,bus141,100,105,2,Phoolbagan -> Ultadanga
P001925,r4,bus102,105,110,3,Esplanade -> Howrah Station
P000123,r40,bus080,110,120,1,Kalighat -> Jadavpur -> Garia
P000855,r6,bus228,115,130,1,Bosepukur -> Gariahat -> Golpark -> Hazra
P001062,r37,bus019,105,125,3,MG Road -> Shyambazar -> Baranagar -> Dunlop -> Titagarh
P002835,r20,bus051,105,110,10,New Town -> Eco Park
P000204,r30,bus021,110,125,10,Ultadanga -> VIP Road -> Airport Gate No. 1 -> Barasat
P000574,r47,bus002,105,115,7,Karunamoyee -> Ultadanga -> Kankurgachi
P001192,r30,bus021,105,125,8,Gariahat -> Ultadanga -> VIP Road -> Airport Gate No. 1 -> Barasat
P000973,r7,bus045,100,105,1,Beleghata -> Salt Lake
P000979,r10,bus068,105,125,5,Belgachia -> Shyambazar -> Esplanade -> Tollygunge -> Joka
P002266,r40,bus080,105,115,1,Esplanade -> Kalighat -> Jadavpur
P001462,r17,bus031,110,125,2,Ultadanga -> Phoolbagan -> Sealdah -> Park Street
P001075,r15,bus083,105,110,10,Park Circus -> Ruby Hospital
P000014,r54,bus084,110,125,10,Park Circus -> Ballygunge -> Rashbehari -> Tollygunge
P001664,r42,bus048,115,135,6,Sakherbazar -> Tollygunge -> Kalighat -> Hazra -> Minto Park
P001841,r2,bus050,110,120,9,Park Circus -> Ruby -> Garia
P000437,r52,bus049,110,120,8,Maidan -> Rabindra Sadan -> Bhowanipore
P001330,r0,bus029,130,150,9,Unitech -> Eco Space -> Aliah University -> Daber More -> ECO Park
P000630,r29,bus040,110,120,2,Ultadanga -> Salt Lake -> New Town
P000250,r38,bus027,110,125,6,Esplanade -> Ultadanga -> Karunamoyee -> Salt Lake Sector V
P002262,r40,bus080,110,120,4,Kalighat -> Jadavpur -> Garia
P002796,r8,bus015,110,120,1,Salt Lake -> Ultadanga -> Esplanade
P002219,r3,bus207,115,120,8,Hazra -> Kalighat
P002103,r3,bus207,120,135,7,Kalighat -> Minto Park -> Esplanade -> Ultadanga
P001036,r0,bus029,140,155,9,Aliah University -> Daber More -> ECO Park -> City
P002741,r3,bus207,120,130,2,Kalighat -> Minto Park -> Esplanade
P001412,r37,bus019,120,125,10,Dunlop -> Titagarh
P000340,r14,bus297,120,125,8,Park Circus -> Sealdah
P002444,r3,bus207,120,135,7,Kalighat -> Minto Park -> Esplanade -> Ultadanga
P002442,r2,bus050,120,125,2,Garia -> Sonarpur
P001037,r5,bus060,120,125,2,Esplanade -> Howrah Station
P001697,r3,bus207,120,140,1,Kalighat -> Minto Park -> Esplanade -> Ultadanga -> Salt Lake
P001291,r3,bus207,135,140,7,Ultadanga -> Salt Lake
P002643,r3,bus207,130,140,3,Esplanade -> Ultadanga -> Salt Lake
P001313,r19,bus010,120,125,6,Ruby -> Garia
P000169,r42,bus048,120,140,3,Tollygunge -> Kalighat -> Hazra -> Minto Park -> Esplanade
P002765,r12,bus094,120,125,2,Phoolbagan -> Sealdah
P002240,r34,bus005,135,140,2,New Town -> Rajarhat
P001195,r34,bus005,135,140,2,New Town -> Rajarhat
P002402,r33,bus033,180,185,1,Kasba -> Gariahat
P000875,r1,bus009,175,215,10,Shyambazar -> Sinthee More -> Baranagar -> Dunlop -> BT Road -> Tobin Road -> Khardah -> Titagarh -> Barrackpore
P001550,r28,bus141,180,200,8,Park Street -> Sealdah -> Phoolbagan -> Ultadanga -> Dumdum
P002463,r15,bus083,180,195,9,Bagbazar -> Shyambazar -> Esplanade -> Park Circus
P002413,r15,bus083,185,200,8,Shyambazar -> Esplanade -> Park Circus -> Ruby Hospital
P000514,r26,bus026,185,195,4,Ultadanga -> Salt Lake -> New Town
P001528,r16,bus007,185,200,6,Shibpur -> Alipore -> Tollygunge -> Garia
P000252,r32,bus001,180,200,3,Gariahat -> Ballygunge -> Park Circus -> VIP Road -> Airport Gate No. 1
P001504,r15,bus083,185,200,3,Shyambazar -> Esplanade -> Park Circus -> Ruby Hospital
P002580,r26,bus026,180,190,10,Esplanade -> Ultadanga -> Salt Lake
P000028,r21,bus011,180,190,8,Tollygunge -> Kalighat -> Hazra
P001491,r32,bus001,180,200,10,Gariahat -> Ballygunge -> Park Circus -> VIP Road -> Airport Gate No. 1
P000966,r28,bus141,190,195,2,Phoolbagan -> Ultadanga
P002868,r15,bus083,180,195,3,Bagbazar -> Shyambazar -> Esplanade -> Park Circus
P000441,r4,bus102,190,195,8,Kalighat -> Esplanade
P000058,r21,bus011,185,200,6,Kalighat -> Hazra -> Gariahat -> Ultadanga
P000984,r4,bus102,190,195,5,Kalighat -> Esplanade
P000897,r21,bus011,195,200,3,Gariahat -> Ultadanga
P000114,r32,bus001,185,200,4,Ballygunge -> Park Circus -> VIP Road -> Airport Gate No. 1
P000140,r4,bus102,190,195,5,Kalighat -> Esplanade
P002205,r47,bus002,200,225,6,Salt Lake -> Karunamoyee -> Ultadanga -> Kankurgachi -> Sealdah -> Park Street
P002630,r35,bus090,185,200,3,Ultadanga -> Karunamoyee -> New Town -> Eco Space
P001202,r26,bus026,185,190,2,Ultadanga -> Salt Lake
P000676,r39,bus024,205,220,1,MG Road -> SN Banerjee -> Esplanade -> Park Street
P000497,r23,bus016,200,225,8,Barasat -> Dumdum -> VIP Road -> Ultadanga -> Ruby -> Garia
P001938,r26,bus026,180,200,7,Esplanade -> Ultadanga -> Salt Lake -> New Town -> Rajarhat
P001687,r45,bus006,200,220,4,Thakurpukur -> Behala -> Sakherbazar -> New Alipore -> Alipore
P000107,r12,bus094,200,220,2,Barasat -> Airport Gate No. 1 -> VIP Road -> Ultadanga -> Phoolbagan
P002193,r26,bus026,185,195,10,Ultadanga -> Salt Lake -> New Town
P002228,r8,bus015,200,210,7,Rajarhat -> Newtown -> Salt Lake
P001801,r11,bus217,205,225,8,Dumdum -> Shyambazar -> Esplanade -> Maidan -> Rabindra Sadan
P002774,r55,bus004,210,225,9,Kasba -> Bosepukur -> Gariahat -> Ruby
P000701,r2,bus050,210,220,8,Park Circus -> Ruby -> Garia
P000983,r2,bus050,200,215,7,Howrah -> Sealdah -> Park Circus -> Ruby
P000716,r23,bus016,200,225,7,Barasat -> Dumdum -> VIP Road -> Ultadanga -> Ruby -> Garia
P000329,r2,bus050,210,220,3,Park Circus -> Ruby -> Garia
P000719,r8,bus015,205,225,4,Newtown -> Salt Lake -> Ultadanga -> Esplanade -> Howrah Station
P000913,r1,bus009,185,210,1,Baranagar -> Dunlop -> BT Road -> Tobin Road -> Khardah -> Titagarh
P001017,r20,bus051,190,195,10,VIP Road -> New Town
P001399,r39,bus024,200,205,3,Shyambazar -> MG Road
P000680,r12,bus094,205,220,5,Airport Gate No. 1 -> VIP Road -> Ultadanga -> Phoolbagan
P000465,r57,bus042,205,220,6,Salt Lake -> New Town -> Eco Park -> Chinar Park
P000201,r2,bus050,205,215,4,Sealdah -> Park Circus -> Ruby
P001273,r2,bus050,210,220,5,Park Circus -> Ruby -> Garia
P002733,r26,bus026,185,200,5,Ultadanga -> Salt Lake -> New Town -> Rajarhat
P002191,r50,bus114,205,220,3,Lake Town -> Bangur -> Ultadanga -> Bidhannagar
P002705,r30,bus021,215,220,3,VIP Road -> Airport Gate No. 1
P001910,r55,bus004,210,225,4,Kasba -> Bosepukur -> Gariahat -> Ruby
P000155,r7,bus045,195,200,9,Salt Lake -> Karunamoyee
P000635,r39,bus024,200,205,7,Shyambazar -> MG Road
P001034,r46,bus025,205,225,9,Kamalgazi -> Narendrapur -> Sonarpur -> Garia Station Road -> Ruby Hospital
P000685,r54,bus084,210,225,7,Park Circus -> Ballygunge -> Rashbehari -> Tollygunge
P001050,r12,bus094,200,215,2,Barasat -> Airport Gate No. 1 -> VIP Road -> Ultadanga
P001332,r29,bus040,210,220,1,Ultadanga -> Salt Lake -> New Town
P001689,r16,bus007,195,200,5,Tollygunge -> Garia
P002153,r52,bus049,205,225,6,Park Street -> Maidan -> Rabindra Sadan -> Bhowanipore -> Kalighat
P000781,r41,bus023,215,220,4,Salt Lake -> Sector V
P001022,r4,bus102,195,200,4,Esplanade -> Howrah Station
P000198,r14,bus297,200,225,2,Tollygunge -> Rashbehari -> Gariahat -> Ballygunge -> Park Circus -> Sealdah
P000272,r36,bus020,220,225,10,Salt Lake -> Karunamoyee
P001009,r8,bus015,210,215,9,Salt Lake -> Ultadanga
P002303,r30,bus021,205,220,10,Gariahat -> Ultadanga -> VIP Road -> Airport Gate No. 1
P002599,r36,bus020,205,225,8,Tollygunge -> Kalighat -> Esplanade -> Salt Lake -> Karunamoyee
P001913,r8,bus015,210,215,4,Salt Lake -> Ultadanga
P002212,r2,bus050,205,210,7,Sealdah -> Park Circus
P000951,r37,bus019,200,220,8,Park Circus -> MG Road -> Shyambazar -> Baranagar -> Dunlop
P000491,r8,bus015,205,225,8,Newtown -> Salt Lake -> Ultadanga -> Esplanade -> Howrah Station
P000554,r3,bus207,225,240,5,Hazra -> Kalighat -> Minto Park -> Esplanade
P000576,r11,bus217,205,220,1,Dumdum -> Shyambazar -> Esplanade -> Maidan
P001237,r8,bus015,200,220,6,Rajarhat -> Newtown -> Salt Lake -> Ultadanga -> Esplanade
P002598,r17,bus031,210,225,6,Ultadanga -> Phoolbagan -> Sealdah -> Park Street
P000135,r6,bus228,225,250,5,Bosepukur -> Gariahat -> Golpark -> Hazra -> Kalighat -> Esplanade
P002786,r54,bus084,210,225,5,Park Circus -> Ballygunge -> Rashbehari -> Tollygunge
P001596,r42,bus048,225,245,8,Sakherbazar -> Tollygunge -> Kalighat -> Hazra -> Minto Park
P000043,r5,bus060,205,225,10,Behala -> Tollygunge -> Hazra -> Esplanade -> Howrah Station
P001452,r23,bus016,205,225,8,Dumdum -> VIP Road -> Ultadanga -> Ruby -> Garia
P001097,r12,bus094,205,215,3,Airport Gate No. 1 -> VIP Road -> Ultadanga
P000361,r12,bus094,210,225,6,VIP Road -> Ultadanga -> Phoolbagan -> Sealdah
P001620,r46,bus025,205,220,4,Kamalgazi -> Narendrapur -> Sonarpur -> Garia Station Road
P002258,r22,bus176,205,220,4,Jadavpur -> Ballygunge -> Sealdah -> MG Road
P000424,r52,bus049,205,225,5,Park Street -> Maidan -> Rabindra Sadan -> Bhowanipore -> Kalighat
P002754,r50,bus114,205,220,2,Lake Town -> Bangur -> Ultadanga -> Bidhannagar
P002839,r2,bus067,210,225,10,Park Circus -> Ruby -> Garia -> Sonarpur
P001226,r2,bus067,210,220,10,Park Circus -> Ruby -> Garia
P001130,r50,bus114,210,225,10,Bangur -> Ultadanga -> Bidhannagar -> Salt Lake
P002753,r50,bus114,210,225,10,Bangur -> Ultadanga -> Bidhannagar -> Salt Lake
P001439,r29,bus040,210,220,8,Ultadanga -> Salt Lake -> New Town
P001557,r29,bus040,210,220,6,Ultadanga -> Salt Lake -> New Town
P001486,r38,bus027,215,220,5,Ultadanga -> Karunamoyee
P002250,r37,bus019,210,225,8,Shyambazar -> Baranagar -> Dunlop -> Titagarh
P001360,r11,bus217,215,225,5,Esplanade -> Maidan -> Rabindra Sadan
P001220,r2,bus067,210,225,7,Park Circus -> Ruby -> Garia -> Sonarpur
P002223,r54,bus084,205,220,6,Moulali -> Park Circus -> Ballygunge -> Rashbehari
P002467,r30,bus021,215,220,6,VIP Road -> Airport Gate No. 1
P001624,r12,bus094,210,225,5,VIP Road -> Ultadanga -> Phoolbagan -> Sealdah
P002867,r52,bus049,205,220,4,Park Street -> Maidan -> Rabindra Sadan -> Bhowanipore
P000693,r18,bus135,205,225,5,Esplanade -> Minto Park -> Gariahat -> Ruby Hospital -> Patuli
P002369,r17,bus031,210,225,4,Ultadanga -> Phoolbagan -> Sealdah -> Park Street
P002724,r18,bus135,210,220,2,Minto Park -> Gariahat -> Ruby Hospital
P001656,r10,bus068,210,220,1,Shyambazar -> Esplanade -> Tollygunge
P001379,r25,bus008,230,235,8,Salt Lake -> Karunamoyee
P002450,r30,bus021,215,220,10,VIP Road -> Airport Gate No. 1
P001800,r25,bus008,225,245,9,ECO Park -> Salt Lake -> Karunamoyee -> Ultadanga -> Esplanade
P000990,r8,bus015,210,215,2,Salt Lake -> Ultadanga
P001443,r56,bus014,210,225,8,Sinthee -> Shyambazar -> MG Road -> Park Street
P002085,r3,bus207,230,240,4,Kalighat -> Minto Park -> Esplanade
P000586,r29,bus040,210,225,1,Ultadanga -> Salt Lake -> New Town -> Eco Park
P002318,r56,bus014,215,225,4,Shyambazar -> MG Road -> Park Street
P000304,r51,bus100,210,215,1,Esplanade -> Rashbehari
P001245,r49,bus066,215,220,1,Phoolbagan -> Salt Lake
P002517,r29,bus040,220,225,10,New Town -> Eco Park
P000061,r2,bus050,215,225,10,Ruby -> Garia -> Sonarpur
P001832,r25,bus008,220,230,1,New Town -> ECO Park -> Salt Lake
P000737,r10,bus068,220,225,6,Tollygunge -> Joka
P001216,r25,bus008,230,245,4,Salt Lake -> Karunamoyee -> Ultadanga -> Esplanade
P002722,r3,bus207,235,250,10,Minto Park -> Esplanade -> Ultadanga -> Salt Lake
P000287,r11,bus217,220,225,10,Maidan -> Rabindra Sadan
P000876,r34,bus005,240,245,1,Salt Lake -> New Town
P001727,r58,bus018,220,225,5,Jadavpur -> Garia
P001493,r0,bus029,250,270,2,Unitech -> Eco Space -> Aliah University -> Daber More -> ECO Park
P000533,r25,bus008,245,250,10,Esplanade -> Howrah Station
P000914,r0,bus029,245,260,6,New Town -> Unitech -> Eco Space -> Aliah University
P002091,r25,bus008,235,250,2,Karunamoyee -> Ultadanga -> Esplanade -> Howrah Station
P000808,r3,bus207,245,250,10,Ultadanga -> Salt Lake
P000326,r16,bus007,270,285,10,Howrah Station -> Shibpur -> Alipore -> Tollygunge
P001240,r3,bus207,245,250,1,Ultadanga -> Salt Lake
P000209,r34,bus005,240,245,4,Salt Lake -> New Town
P001899,r32,bus001,270,285,1,Gariahat -> Ballygunge -> Park Circus -> VIP Road
P001218,r33,bus033,270,275,6,Kasba -> Gariahat
P000419,r7,bus045,275,290,4,Shyambazar -> Beleghata -> Salt Lake -> Karunamoyee
P001908,r21,bus011,270,290,9,Tollygunge -> Kalighat -> Hazra -> Gariahat -> Ultadanga
P001477,r6,bus228,245,250,6,Kalighat -> Esplanade
P000821,r28,bus141,275,290,1,Sealdah -> Phoolbagan -> Ultadanga -> Dumdum
P000241,r26,bus026,275,285,10,Ultadanga -> Salt Lake -> New Town
P000536,r16,bus007,270,290,10,Howrah Station -> Shibpur -> Alipore -> Tollygunge -> Garia
P000423,r33,bus033,270,275,5,Kasba -> Gariahat
P000447,r15,bus083,275,285,7,Shyambazar -> Esplanade -> Park Circus
P000870,r26,bus026,270,280,5,Esplanade -> Ultadanga -> Salt Lake
P002218,r4,bus102,285,290,7,Esplanade -> Howrah Station
P001139,r32,bus001,270,290,4,Gariahat -> Ballygunge -> Park Circus -> VIP Road -> Airport Gate No. 1
P002574,r4,bus102,285,290,4,Esplanade -> Howrah Station
P001668,r4,bus102,280,285,4,Kalighat -> Esplanade
P001058,r26,bus026,270,275,8,Esplanade -> Ultadanga
P000840,r4,bus102,285,290,10,Esplanade -> Howrah Station
P002148,r7,bus045,275,290,1,Shyambazar -> Beleghata -> Salt Lake -> Karunamoyee
P000516,r32,bus001,270,290,7,Gariahat -> Ballygunge -> Park Circus -> VIP Road -> Airport Gate No. 1
P000976,r28,bus141,280,290,9,Phoolbagan -> Ultadanga -> Dumdum
P001489,r57,bus042,300,320,9,Ultadanga -> Salt Lake -> New Town -> Eco Park -> Chinar Park
P000589,r24,bus003,275,285,8,Shyambazar -> Esplanade -> Sealdah
P002333,r10,bus068,300,315,6,Dumdum -> Belgachia -> Shyambazar -> Esplanade
P002200,r51,bus100,300,320,7,Howrah -> Lalbazar -> Esplanade -> Rashbehari -> Gariahat
P000748,r28,bus141,280,290,7,Phoolbagan -> Ultadanga -> Dumdum
P002177,r28,bus141,275,285,3,Sealdah -> Phoolbagan -> Ultadanga
P002772,r4,bus102,280,285,4,Kalighat -> Esplanade
P000125,r28,bus141,280,290,5,Phoolbagan -> Ultadanga -> Dumdum
P000786,r12,bus094,300,320,1,Barasat -> Airport Gate No. 1 -> VIP Road -> Ultadanga -> Phoolbagan
P002246,r16,bus007,280,290,9,Alipore -> Tollygunge -> Garia
P000919,r52,bus049,300,315,8,Esplanade -> Park Street -> Maidan -> Rabindra Sadan
P001250,r4,bus102,280,285,8,Kalighat -> Esplanade
P002081,r26,bus026,275,280,2,Ultadanga -> Salt Lake
P002133,r44,bus055,305,320,6,New Town -> Eco Park -> Eco Space -> Unitech
P000358,r39,bus024,300,320,7,Shyambazar -> MG Road -> SN Banerjee -> Esplanade -> Park Street
P001107,r41,bus023,305,320,7,VIP Road -> Ultadanga -> Salt Lake -> Sector V
P002164,r4,bus102,280,285,2,Kalighat -> Esplanade
P002289,r28,bus141,275,290,4,Sealdah -> Phoolbagan -> Ultadanga -> Dumdum
P000083,r4,bus118,285,290,10,Esplanade -> Howrah Station
P000602,r38,bus027,300,305,6,Alipore -> Minto Park
P002311,r29,bus040,310,320,8,Ultadanga -> Salt Lake -> New Town
P000791,r4,bus118,285,290,9,Esplanade -> Howrah Station
P000941,r18,bus135,305,315,8,Esplanade -> Minto Park -> Gariahat
P001056,r35,bus090,285,290,8,New Town -> Eco Space
P001394,r29,bus040,310,320,4,Ultadanga -> Salt Lake -> New Town
P002813,r17,bus031,305,320,6,Karunamoyee -> Ultadanga -> Phoolbagan -> Sealdah
P000723,r41,bus023,300,320,9,Airport Gate No. 1 -> VIP Road -> Ultadanga -> Salt Lake -> Sector V
P001966,r5,bus060,310,320,8,Tollygunge -> Hazra -> Esplanade
P002244,r38,bus027,315,320,2,Ultadanga -> Karunamoyee
P002648,r53,bus030,300,325,1,Jadavpur -> Dhakuria -> Gariahat -> Golpark -> Bosepukur -> Kasba
P000111,r11,bus217,315,325,3,Esplanade -> Maidan -> Rabindra Sadan
P000655,r10,bus068,310,325,1,Shyambazar -> Esplanade -> Tollygunge -> Joka
P000403,r2,bus050,320,325,10,Garia -> Sonarpur
P000127,r54,bus084,300,320,10,Sealdah -> Moulali -> Park Circus -> Ballygunge -> Rashbehari
P000594,r9,bus017,300,310,7,Jadavpur -> Dhakuria -> Gariahat
P000958,r30,bus021,300,320,10,Ruby -> Gariahat -> Ultadanga -> VIP Road -> Airport Gate No. 1
P000335,r5,bus060,315,320,9,Hazra -> Esplanade
P000847,r9,bus017,300,310,3,Jadavpur -> Dhakuria -> Gariahat
P001221,r29,bus040,310,315,3,Ultadanga -> Salt Lake
P000296,r2,bus050,310,320,8,Park Circus -> Ruby -> Garia
P002295,r40,bus080,300,315,6,Howrah Station -> Esplanade -> Kalighat -> Jadavpur
P001349,r10,bus068,300,320,7,Dumdum -> Belgachia -> Shyambazar -> Esplanade -> Tollygunge
P000420,r9,bus017,305,325,7,Dhakuria -> Gariahat -> Rashbehari -> Kalighat -> Esplanade
P000289,r37,bus019,305,320,10,MG Road -> Shyambazar -> Baranagar -> Dunlop
P001831,r9,bus017,310,325,9,Gariahat -> Rashbehari -> Kalighat -> Esplanade
P002712,r29,bus040,310,325,8,Ultadanga -> Salt Lake -> New Town -> Eco Park
P002810,r36,bus020,320,325,4,Salt Lake -> Karunamoyee
P002269,r44,bus055,305,325,1,New Town -> Eco Park -> Eco Space -> Unitech -> Salt Lake
P002686,r11,bus217,305,320,1,Dumdum -> Shyambazar -> Esplanade -> Maidan
P002783,r49,bus066,300,320,4,Bagbazar -> Shyambazar -> Beleghata -> Phoolbagan -> Salt Lake
P001982,r2,bus050,305,315,3,Sealdah -> Park Circus -> Ruby
